order_id,customer_id,product_id,quantity,unit_price,discount,total_amount,order_status,order_date,updated_at
ORD5021,CUS1021,PRD1021,2,24.50,0.00,49.00,Pending,2025-02-04,2026-01-25 17:00:00
ORD5022,CUS1022,PRD1022,1,22.00,0.00,22.00,Completed,2025-02-05,2026-01-26 08:45:00
ORD5023,CUS1023,PRD1023,5,12.50,5.00,57.50,Completed,2025-02-06,2026-01-27 09:30:00
ORD5024,CUS1024,PRD1024,1,18.00,0.00,18.00,completed,2025-02-07,2026-01-28 10:15:00
ORD5025,CUS1025,PRD1025,2,19.99,0.00,39.98,Completed,2025-02-08,2026-01-29 11:00:00
ORD5026,CUS1026,PRD1026,1,35.00,0.00,35.00,Completed,2025-02-09,2026-01-30 14:10:00
ORD5027,CUS1027,PRD1027,1,120.00,20.00,100.00,Processing,2025-02-10,2026-01-31 16:05:00
ORD5028,CUS1028,PRD1028,2,29.00,0.00,58.00,Completed,2025-02-11,2026-02-01 08:20:00
ORD5029,CUS1029,PRD1029,3,14.50,0.00,43.50,Completed,2025-02-12,2026-02-02 09:50:00
ORD5030,CUS1030,PRD1030,1,85.00,10.00,75.00,Completed,2025/02/13,2026-02-03 11:30:00
ORD5031,CUS1031,PRD1031,2,27.00,0.00,54.00,Cancelled,2025-02-14,2026-02-04 13:10:00
ORD5032,CUS1032,PRD1032,1,65.00,0.00,65.00,Completed,2025-02-15,2026-02-05 15:00:00
ORD5033,CUS1033,PRD1033,1,150.00,25.00,125.00,completed,2025-02-16,2026-02-06 16:40:00
ORD5034,CUS1034,PRD1034,4,15.00,0.00,60.00,Completed,2025-02-17,2026-02-07 09:00:00
ORD5035,CUS1035,PRD1035,2,30.00,5.00,55.00,Completed,2025-02-18,2026-02-08 10:25:00
ORD5036,CUS1036,PRD1036,1,48.00,0.00,48.00,Pending,2025-02-19,2026-02-09 11:50:00
ORD5037,CUS1037,PRD1037,3,18.00,0.00,54.00,Completed,2025-02-20,2026-02-10 14:15:00
ORD5038,CUS1038,PRD1038,1,$32.00,0.00,32.00,Completed,2025-02-21,2026-02-11 15:45:00
ORD5039,CUS1039,PRD1039,2,35.00,10.00,60.00,Completed,2025-02-22,2026-02-12 17:10:00
ORD5040,CUS1040,PRD1040,5,9.99,0.00,49.95,completed,2025-02-23,2026-02-13 08:15:00
ORD5041,CUS1041,PRD1041,1,29.99,0.00,29.99,Completed,2025-02-24,2026-02-14 09:35:00
ORD5042,CUS1042,PRD1042,2,8.50,1.00,16.00,Completed,2025-02-25,2026-02-15 10:50:00
ORD5043,CUS1043,PRD1043,1,16.00,0.00,16.00,Returned,2025-02-26,2026-02-16 13:05:00
ORD5044,CUS1044,PRD1044,3,14.00,0.00,42.00,Completed,2025-02-27,2026-02-17 14:30:00
ORD5045,CUS1045,PRD1045,1,21.00,0.00,21.00,Completed,2025-02-28,2026-02-18 16:00:00
ORD5046,CUS1046,PRD1046,1,39.99,5.00,34.99,Pending,2025-03-01,2026-02-19 08:50:00
ORD5047,CUS1047,PRD1047,2,25.00,0.00,50.00,Completed,2025-03-02,2026-02-20 10:20:00
ORD5048,CUS1048,PRD1048,1,45.00,0.00,45.00,completed,2025-03-03,2026-02-21 11:40:00
ORD5049,CUS1049,PRD1049,2,28.00,0.00,56.00,Completed,2025-03-04,2026-02-22 13:25:00
ORD5050,CUS1050,PRD1050,10,6.50,5.00,60.00,Completed,05/03/2025,2026-02-23 15:10:00
ORD5051,CUS1051,PRD1051,1,42.00,0.00,42.00,Cancelled,2025-03-06,2026-02-24 16:50:00
ORD5052,CUS9999,PRD1052,2,22.00,0.00,44.00,Completed,2025-03-07,2026-02-25 09:10:00
ORD5053,CUS1053,PRD1053,1,110.00,10.00,100.00,Completed,2025-03-08,2026-02-26 10:45:00
ORD5054,CUS1054,PRD1054,3,12.00,0.00,36.00,completed,2025-03-09,2026-02-27 12:00:00
ORD5055,CUS1055,PRD9999,1,10.00,0.00,10.00,Completed,2025-03-10,2026-02-28 14:15:00
ORD5056,CUS1056,PRD1056,2,19.99,0.00,39.98,Completed,2025-03-11,2026-03-01 15:30:00
ORD5057,CUS1057,PRD1057,1,14.00,0.00,14.00,Pending,2025-03-12,2026-03-02 17:00:00
ORD5058,CUS1058,PRD1058,2,16.50,2.00,31.00,Completed,2025-03-13,2026-03-03 08:30:00
ORD5059,CUS1059,PRD1059,1,36.00,0.00,36.00,Completed,2025-03-14,2026-03-04 09:55:00
ORD5060,CUS1060,PRD1060,1,45.00,5.00,40.00,Completed,2025-03-15,2026-03-05 11:20:00
ORD5061,CUS1061,PRD1061,2,21.00,0.00,42.00,completed,2025-03-16,2026-03-06 13:40:00
ORD5062,CUS1062,PRD1062,1,15.00,0.00,15.00,Completed,2025-03-17,2026-03-07 15:05:00
ORD5063,CUS1063,PRD1063,4,5.00,0.00,20.00,Returned,2025-03-18,2026-03-08 16:25:00
ORD5064,CUS1064,PRD1064,2,11.00,1.00,21.00,Completed,2025-03-19,2026-03-09 09:05:00
ORD5065,CUS1065,PRD1065,1,22.50,0.00,22.50,Completed,2025-03-20,2026-03-10 10:30:00
ORD5066,CUS1066,PRD1066,1,18.00,0.00,18.00,Pending,2025-03-21,2026-03-11 11:45:00
ORD5067,CUS1067,PRD1067,2,38.00,0.00,76.00,Completed,2025-03-22,2026-03-12 14:00:00
ORD5068,CUS1068,PRD1068,3,14.00,2.00,40.00,completed,2025-03-23,2026-03-13 15:20:00
ORD5069,CUS1069,PRD1069,1,24.00,0.00,24.00,Completed,2025-03-24,2026-03-14 16:45:00
ORD5070,CUS1070,PRD1070,1,32.00,0.00,32.00,Completed,2025-03-25,2026-03-15 08:40:00
ORD5071,CUS1001,PRD1005,2,12.00,0.00,24.00,Completed,2025-03-26,2026-03-16 09:10:00
ORD5072,CUS1002,PRD1006,1,29.99,0.00,29.99,completed,2025-03-27,2026-03-17 10:15:00
ORD5073,CUS1003,PRD1007,1,89.90,10.00,79.90,Completed,2025-03-28,2026-03-18 11:30:00
ORD5074,CUS1004,PRD1008,5,9.99,0.00,49.95,Completed,2025-03-29,2026-03-19 14:00:00
ORD5075,CUS1005,PRD1010,1,75.00,0.00,75.00,Cancelled,2025-03-30,2026-03-20 15:10:00
ORD5076,CUS1006,PRD1011,2,32.50,5.00,60.00,Completed,2025-03-31,2026-03-21 16:20:00
ORD5077,CUS1007,PRD1012,1,18.00,0.00,18.00,Completed,2025-04-01,2026-03-22 08:30:00
ORD5078,CUS1008,PRD1013,2,25.00,0.00,50.00,Pending,2025-04-02,2026-03-23 09:40:00
ORD5079,CUS1009,PRD1014,1,22.00,0.00,22.00,Completed,2025-04-03,2026-03-24 10:50:00
ORD5080,CUS1010,PRD1016,1,39.99,0.00,39.99,completed,2025-04-04,2026-03-25 12:00:00
ORD5081,CUS1011,PRD1017,2,$28.00,0.00,56.00,Completed,2025-04-05,2026-03-26 13:15:00
ORD5082,CUS1012,PRD1018,1,20.00,2.00,18.00,Completed,2025-04-06,2026-03-27 14:30:00
ORD5083,CUS1013,PRD1020,1,55.00,0.00,55.00,Returned,2025-04-07,2026-03-28 15:45:00
ORD5084,CUS1014,PRD1021,3,24.50,5.00,68.50,Completed,2025-04-08,2026-03-29 17:00:00
ORD5085,CUS1015,PRD1022,1,22.00,0.00,22.00,Completed,2025-04-09,2026-03-30 08:15:00
ORD5086,CUS1016,PRD1023,2,12.50,0.00,25.00,Completed,2025-04-10,2026-03-31 09:25:00
ORD5087,CUS1017,PRD1024,1,18.00,0.00,18.00,completed,2025-04-11,2026-04-01 10:40:00
ORD5088,CUS1018,PRD1025,2,19.99,0.00,39.98,Pending,2025-04-12,2026-04-02 11:50:00
ORD5089,CUS1019,PRD1026,1,35.00,5.00,30.00,Completed,2025-04-13,2026-04-03 13:10:00
ORD5090,CUS1020,PRD1027,1,120.00,10.00,110.00,Completed,2025-04-14,2026-04-04 14:20:00
ORD5091,CUS1021,PRD1028,2,29.00,0.00,58.00,Completed,2025-04-15,2026-04-05 15:35:00
ORD5092,CUS1022,PRD1030,1,85.00,0.00,85.00,Cancelled,2025-04-16,2026-04-06 16:50:00
ORD5093,CUS1023,PRD1031,1,27.00,0.00,27.00,Completed,2025-04-17,2026-04-07 08:40:00
ORD5094,CUS1024,PRD1032,1,65.00,5.00,60.00,completed,2025-04-18,2026-04-08 09:50:00
ORD5095,CUS1025,PRD1033,1,150.00,0.00,150.00,Completed,2025-04-19,2026-04-09 11:00:00
ORD5096,CUS1026,PRD1035,2,30.00,0.00,60.00,Completed,2025-04-20,2026-04-10 12:15:00
ORD5097,CUS1027,PRD1037,3,18.00,2.00,52.00,Pending,2025-04-21,2026-04-11 13:30:00
ORD5098,CUS1028,PRD1038,1,32.00,0.00,32.00,Completed,2025-04-22,2026-04-12 14:45:00
ORD5099,CUS1029,PRD1039,1,35.00,0.00,35.00,Completed,2025-04-23,2026-04-13 16:00:00
ORD5100,CUS1030,PRD1041,2,29.99,5.00,54.98,completed,2025-04-24,2026-04-14 17:10:00
ORD5101,CUS1031,PRD1043,1,16.00,0.00,16.00,Completed,2025-04-25,2026-04-15 08:20:00
ORD5102,CUS1032,PRD1045,1,21.00,0.00,21.00,Completed,2025-04-26,2026-04-16 09:30:00
ORD5103,CUS1033,PRD1046,1,39.99,0.00,39.99,Returned,2025-04-27,2026-04-17 10:40:00
ORD5104,CUS1034,PRD1047,2,25.00,5.00,45.00,Completed,2025-04-28,2026-04-18 11:50:00
ORD5105,CUS1035,PRD1048,1,45.00,0.00,45.00,Completed,2025-04-29,2026-04-19 13:00:00
ORD5106,CUS1036,PRD1049,2,28.00,0.00,56.00,completed,2025-04-30,2026-04-20 14:10:00
ORD5107,CUS1037,PRD1051,1,42.00,0.00,42.00,Pending,2025-05-01,2026-04-21 15:20:00
ORD5108,CUS1038,PRD1053,1,110.00,15.00,95.00,Completed,2025-05-02,2026-04-22 16:30:00
ORD5109,CUS1039,PRD1054,2,12.00,0.00,24.00,Completed,2025-05-03,2026-04-23 08:35:00
ORD5110,CUS1040,PRD1056,1,19.99,0.00,19.99,Completed,2025-05-04,2026-04-24 09:45:00
ORD5111,CUS1041,PRD1058,2,16.50,0.00,33.00,completed,2025-05-05,2026-04-25 10:55:00
ORD5112,CUS1042,PRD1060,1,45.00,5.00,40.00,Completed,2025-05-06,2026-04-26 12:05:00
ORD5113,CUS1043,PRD1061,1,21.00,0.00,21.00,Cancelled,2025-05-07,2026-04-27 13:15:00
ORD5114,CUS1044,PRD1063,3,5.00,0.00,15.00,Completed,2025-05-08,2026-04-28 14:25:00
ORD5115,CUS1045,PRD1065,1,22.50,0.00,22.50,Completed,2025-05-09,2026-04-29 15:35:00
ORD5116,CUS1046,PRD1066,2,18.00,2.00,34.00,Pending,2025-05-10,2026-04-30 16:45:00
ORD5117,CUS1047,PRD1067,1,38.00,0.00,38.00,Completed,2025-05-11,2026-05-01 08:10:00
ORD5118,CUS1048,PRD1068,2,14.00,0.00,28.00,completed,2025-05-12,2026-05-02 09:20:00
ORD5119,CUS1049,PRD1069,1,24.00,0.00,24.00,Completed,2025-05-13,2026-05-03 10:30:00
ORD5120,CUS1050,PRD1070,2,32.00,4.00,60.00,Completed,2025-05-14,2026-05-04 11:40:00
ORD5121,CUS1051,PRD1001,1,45.00,0.00,45.00,Completed,2025-05-15,2026-05-05 12:50:00
ORD5122,CUS1052,PRD1002,1,60.00,0.00,60.00,Returned,2025-05-16,2026-05-06 14:00:00
ORD5123,CUS1053,PRD1004,2,35.00,5.00,65.00,Completed,2025-05-17,2026-05-07 15:10:00
ORD5124,CUS1054,PRD1006,1,29.99,0.00,29.99,completed,2025-05-18,2026-05-08 16:20:00
ORD5125,CUS1055,PRD1007,1,89.90,0.00,89.90,Completed,2025-05-19,2026-05-09 08:30:00
ORD5126,CUS1056,PRD1009,1,45.00,0.00,45.00,Pending,2025-05-20,2026-05-10 09:40:00
ORD5127,CUS1057,PRD1011,2,32.50,0.00,65.00,Completed,2025-05-21,2026-05-11 10:50:00
ORD5128,CUS1058,PRD1013,1,25.00,2.00,23.00,Completed,2025-05-22,2026-05-12 12:00:00
ORD5129,CUS1059,PRD1015,3,16.50,0.00,49.50,completed,2025-05-23,2026-05-13 13:10:00
ORD5130,CUS1060,PRD1017,1,28.00,0.00,28.00,Completed,2025-05-24,2026-05-14 14:20:00
ORD5131,CUS1061,PRD1018,2,20.00,0.00,40.00,Cancelled,2025-05-25,2026-05-15 15:30:00
ORD5132,CUS1062,PRD1021,1,24.50,0.00,24.50,Completed,2025-05-26,2026-05-16 16:40:00
ORD5133,CUS1063,PRD1022,2,22.00,4.00,40.00,Completed,2025-05-27,2026-05-17 08:15:00
ORD5134,CUS1064,PRD1024,1,18.00,0.00,18.00,completed,2025-05-28,2026-05-18 09:25:00
ORD5135,CUS1065,PRD1026,1,35.00,0.00,35.00,Completed,2025-05-29,2026-05-19 10:35:00
ORD5136,CUS1066,PRD1027,1,120.00,15.00,105.00,Pending,2025-05-30,2026-05-20 11:45:00
ORD5137,CUS1067,PRD1028,2,29.00,0.00,58.00,Completed,2025-05-31,2026-05-21 12:55:00
ORD5138,CUS1068,PRD1030,1,85.00,0.00,85.00,Completed,2025-06-01,2026-05-22 14:05:00
ORD5139,CUS1069,PRD1032,1,65.00,5.00,60.00,completed,2025-06-02,2026-05-23 15:15:00
ORD5140,CUS1070,PRD1033,1,150.00,0.00,150.00,Completed,2025-06-03,2026-05-24 16:25:00
ORD5141,CUS1071,PRD1035,2,30.00,0.00,60.00,Returned,2025-06-04,2026-05-25 08:35:00
ORD5142,CUS1072,PRD1037,1,18.00,0.00,18.00,Completed,2025-06-05,2026-05-26 09:45:00
ORD5143,CUS1073,PRD1039,2,35.00,5.00,65.00,Completed,2025-06-06,2026-05-27 10:55:00
ORD5144,CUS1074,PRD1040,4,9.99,0.00,39.96,completed,2025-06-07,2026-05-28 12:05:00
ORD5145,CUS1075,PRD1041,1,29.99,0.00,29.99,Completed,2025-06-08,2026-05-29 13:15:00
ORD5146,CUS1076,PRD1043,2,16.00,0.00,32.00,Pending,2025-06-09,2026-05-30 14:25:00
ORD5147,CUS1077,PRD1045,1,21.00,0.00,21.00,Completed,2025-06-10,2026-05-31 15:35:00
ORD5148,CUS1078,PRD1046,1,39.99,4.00,35.99,Completed,2025-06-11,2026-06-01 16:45:00
ORD5149,CUS1079,PRD1047,2,25.00,0.00,50.00,completed,2025-06-12,2026-06-02 08:20:00
ORD5150,CUS1080,PRD1048,1,45.00,0.00,45.00,Completed,2025-06-13,2026-06-03 09:30:00
ORD5151,CUS1081,PRD1050,5,6.50,2.50,30.00,Cancelled,2025-06-14,2026-06-04 10:40:00
ORD5152,CUS1082,PRD1051,1,42.00,0.00,42.00,Completed,2025-06-15,2026-06-05 11:50:00
ORD5153,CUS1083,PRD1053,1,110.00,10.00,100.00,Completed,2025-06-16,2026-06-06 13:00:00
ORD5154,CUS1084,PRD1054,2,12.00,0.00,24.00,completed,2025-06-17,2026-06-07 14:10:00
ORD5155,CUS1085,PRD1056,1,19.99,0.00,19.99,Completed,2025-06-18,2026-06-08 15:20:00
ORD5156,CUS1086,PRD1058,1,16.50,0.00,16.50,Pending,2025-06-19,2026-06-09 16:30:00
ORD5157,CUS1087,PRD1060,2,45.00,5.00,85.00,Completed,2025-06-20,2026-06-10 08:15:00
ORD5158,CUS1088,PRD1061,1,21.00,0.00,21.00,Completed,2025-06-21,2026-06-11 09:25:00
ORD5159,CUS1089,PRD1063,2,5.00,0.00,10.00,completed,2025-06-22,2026-06-12 10:35:00
ORD5160,CUS1090,PRD1065,1,22.50,0.00,22.50,Completed,2025-06-23,2026-06-13 11:45:00
ORD5161,CUS1091,PRD1066,1,18.00,0.00,18.00,Returned,2025-06-24,2026-06-14 12:55:00
ORD5162,CUS1092,PRD1067,2,38.00,6.00,70.00,Completed,2025-06-25,2026-06-15 14:05:00
ORD5163,CUS1093,PRD1068,1,14.00,0.00,14.00,Completed,2025-06-26,2026-06-16 15:15:00
ORD5164,CUS1094,PRD1069,3,24.00,0.00,72.00,completed,2025-06-27,2026-06-17 16:25:00
ORD5165,CUS1095,PRD1070,1,32.00,0.00,32.00,Pending,2025-06-28,2026-06-18 08:30:00
ORD5166,CUS1001,PRD1002,1,60.00,0.00,60.00,Completed,2025-06-29,2026-06-19 09:40:00
ORD5167,CUS1002,PRD1003,2,15.00,0.00,30.00,Completed,2025-06-30,2026-06-20 10:50:00
ORD5168,CUS1003,PRD1004,1,35.00,5.00,30.00,completed,2025-07-01,2026-06-21 12:00:00
ORD5169,CUS1004,PRD1006,1,29.99,0.00,29.99,Completed,2025-07-02,2026-06-22 13:10:00
ORD5170,CUS1005,PRD1007,1,89.90,10.00,79.90,Cancelled,2025-07-03,2026-06-23 14:20:00
ORD5171,CUS1006,PRD1008,3,9.99,0.00,29.97,Completed,2025-07-04,2026-06-24 15:30:00
ORD5172,CUS1007,PRD1010,1,75.00,0.00,75.00,Completed,2025-07-05,2026-06-25 16:40:00
ORD5173,CUS1008,PRD1011,2,32.50,0.00,65.00,completed,2025-07-06,2026-06-26 08:15:00
ORD5174,CUS1009,PRD1012,1,18.00,0.00,18.00,Pending,2025-07-07,2026-06-27 09:25:00
ORD5175,CUS1010,PRD1013,1,25.00,0.00,25.00,Completed,2025-07-08,2026-06-28 10:35:00
ORD5176,CUS1011,PRD1014,2,22.00,2.00,42.00,Completed,2025-07-09,2026-06-29 11:45:00
ORD5177,CUS1012,PRD1016,1,39.99,0.00,39.99,completed,2025-07-10,2026-06-30 12:55:00
ORD5178,CUS1013,PRD1017,1,28.00,0.00,28.00,Completed,2025-07-11,2026-07-01 14:05:00
ORD5179,CUS1014,PRD1018,2,20.00,0.00,40.00,Returned,2025-07-12,2026-07-02 15:15:00
ORD5180,CUS1015,PRD1020,1,55.00,5.00,50.00,Completed,2025-07-13,2026-07-03 16:25:00
ORD5181,CUS1016,PRD1021,1,24.50,0.00,24.50,Completed,2025-07-14,2026-07-04 08:30:00
ORD5182,CUS1017,PRD1022,2,22.00,0.00,44.00,completed,2025-07-15,2026-07-05 09:40:00
ORD5183,CUS1018,PRD1023,1,12.50,0.00,12.50,Pending,2025-07-16,2026-07-06 10:50:00
ORD5184,CUS1019,PRD1024,1,18.00,0.00,18.00,Completed,2025-07-17,2026-07-07 12:00:00
ORD5185,CUS1020,PRD1025,3,19.99,0.00,59.97,Completed,2025-07-18,2026-07-08 13:10:00
ORD5186,CUS1021,PRD1026,1,35.00,5.00,30.00,completed,2025-07-19,2026-07-09 14:20:00
ORD5187,CUS1022,PRD1027,1,120.00,0.00,120.00,Completed,2025-07-20,2026-07-10 15:30:00
ORD5188,CUS1023,PRD1028,2,29.00,0.00,58.00,Cancelled,2025-07-21,2026-07-11 16:40:00
ORD5189,CUS1024,PRD1030,1,85.00,10.00,75.00,Completed,2025-07-22,2026-07-12 08:15:00
ORD5190,CUS1025,PRD1031,2,27.00,0.00,54.00,Completed,2025-07-23,2026-07-13 09:25:00
ORD5191,CUS1026,PRD1032,1,65.00,0.00,65.00,completed,2025-07-24,2026-07-14 10:35:00
ORD5192,CUS1027,PRD1033,1,150.00,20.00,130.00,Pending,2025-07-25,2026-07-15 11:45:00
ORD5193,CUS1028,PRD1035,2,30.00,0.00,60.00,Completed,2025-07-26,2026-07-16 12:55:00
ORD5194,CUS1029,PRD1037,1,18.00,0.00,18.00,Completed,2025-07-27,2026-07-17 14:05:00
ORD5195,CUS1030,PRD1038,2,32.00,2.00,62.00,completed,2025-07-28,2026-07-18 15:15:00
ORD5196,CUS1031,PRD1039,1,35.00,0.00,35.00,Completed,2025-07-29,2026-07-19 16:25:00
ORD5197,CUS1032,PRD1041,1,29.99,0.00,29.99,Returned,2025-07-30,2026-07-20 08:30:00
ORD5198,CUS1033,PRD1043,2,16.00,0.00,32.00,Completed,2025-07-31,2026-07-21 09:40:00
ORD5199,CUS1034,PRD1045,1,21.00,0.00,21.00,completed,2025-08-01,2026-07-22 10:50:00
ORD5200,CUS1035,PRD1046,1,39.99,5.00,34.99,Completed,2025-08-02,2026-07-23 12:00:00
ORD5201,CUS1036,PRD1047,2,25.00,0.00,50.00,Pending,2025-08-03,2026-07-24 13:10:00
ORD5202,CUS1037,PRD1048,1,45.00,0.00,45.00,Completed,2025-08-04,2026-07-25 14:20:00
ORD5203,CUS1038,PRD1050,4,6.50,0.00,26.00,Completed,2025-08-05,2026-07-26 15:30:00
ORD5204,CUS1039,PRD1051,1,42.00,2.00,40.00,completed,2025-08-06,2026-07-27 16:40:00
ORD5205,CUS1040,PRD1053,1,110.00,10.00,100.00,Completed,2025-08-07,2026-07-28 08:15:00
ORD5206,CUS1041,PRD1054,3,12.00,0.00,36.00,Cancelled,2025-08-08,2026-07-29 09:25:00
ORD5207,CUS1042,PRD1056,1,19.99,0.00,19.99,Completed,2025-08-09,2026-07-30 10:35:00
ORD5208,CUS1043,PRD1058,1,16.50,0.00,16.50,completed,2025-08-10,2026-07-31 11:45:00
ORD5209,CUS1044,PRD1060,2,45.00,5.00,85.00,Completed,2025-08-11,2026-08-01 12:55:00
ORD5210,CUS1045,PRD1061,1,21.00,0.00,21.00,Pending,2025-08-12,2026-08-02 14:05:00
ORD5211,CUS1046,PRD1063,2,5.00,0.00,10.00,Completed,2025-08-13,2026-08-03 15:15:00
ORD5212,CUS1047,PRD1065,1,22.50,0.00,22.50,Completed,2025-08-14,2026-08-04 16:25:00
ORD5213,CUS1048,PRD1066,1,18.00,0.00,18.00,completed,2025-08-15,2026-08-05 08:30:00
ORD5214,CUS1049,PRD1067,2,38.00,4.00,72.00,Completed,2025-08-16,2026-08-06 09:40:00
ORD5215,CUS1050,PRD1068,1,14.00,0.00,14.00,Returned,2025-08-17,2026-08-07 10:50:00
ORD5216,CUS1051,PRD1069,2,24.00,0.00,48.00,Completed,2025-08-18,2026-08-08 12:00:00
ORD5217,CUS1052,PRD1070,1,32.00,0.00,32.00,completed,2025-08-19,2026-08-09 13:10:00
ORD5218,CUS1053,PRD1001,1,45.00,5.00,40.00,Pending,2025-08-20,2026-08-10 14:20:00
ORD5219,CUS1054,PRD1002,2,60.00,10.00,110.00,Completed,2025-08-21,2026-08-11 15:30:00
ORD5220,CUS1055,PRD1003,3,15.00,0.00,45.00,Completed,2025-08-22,2026-08-12 16:40:00
ORD5221,CUS1056,PRD1004,1,35.00,0.00,35.00,completed,2025-08-23,2026-08-13 08:15:00
ORD5222,CUS1057,PRD1005,2,12.00,0.00,24.00,Completed,2025-08-24,2026-08-14 09:25:00
ORD5223,CUS1058,PRD1006,1,29.99,0.00,29.99,Cancelled,2025-08-25,2026-08-15 10:35:00
ORD5224,CUS1059,PRD1007,1,89.90,15.00,74.90,Completed,2025-08-26,2026-08-16 11:45:00
ORD5225,CUS1060,PRD1008,5,9.99,0.00,49.95,Completed,2025-08-27,2026-08-17 12:55:00
ORD5226,CUS1061,PRD1010,1,75.00,0.00,75.00,completed,2025-08-28,2026-08-18 14:05:00
ORD5227,CUS1062,PRD1011,2,32.50,5.00,60.00,Pending,2025-08-29,2026-08-19 15:15:00
ORD5228,CUS1063,PRD1012,1,18.00,0.00,18.00,Completed,2025-08-30,2026-08-20 16:25:00
ORD5229,CUS1064,PRD1013,1,25.00,0.00,25.00,Completed,2025-08-31,2026-08-21 08:30:00
ORD5230,CUS1065,PRD1014,2,22.00,0.00,44.00,completed,2025-09-01,2026-08-22 09:40:00
ORD5231,CUS1066,PRD1016,1,39.99,0.00,39.99,Returned,2025-09-02,2026-08-23 10:50:00
ORD5232,CUS1067,PRD1017,2,28.00,4.00,52.00,Completed,2025-09-03,2026-08-24 12:00:00
